year,gennme,state,quarter,totalRXImputed
2020,Amphetamine,SC,2,44
2020,Amphetamine Salt Combination,SC,2,25895
2020,Dextroamphetamine Sulfate,SC,2,318
2020,Lisdexamfetamine Dimesylate,SC,2,18391
2020,Amphetamine,SC,3,28
2020,Amphetamine Salt Combination,SC,3,18339
2020,Dextroamphetamine Sulfate,SC,3,211
2020,Lisdexamfetamine Dimesylate,SC,3,14133
2020,Amphetamine,SC,4,0
2020,Amphetamine Salt Combination,SC,4,11314
2020,Dextroamphetamine Sulfate,SC,4,141
2020,Lisdexamfetamine Dimesylate,SC,4,10324
2020,Amphetamine,TN,1,353
2020,Amphetamine Salt Combination,TN,1,22018
2020,Dextroamphetamine Sulfate,TN,1,720
2020,Lisdexamfetamine Dimesylate,TN,1,28554
2020,Methamphetamine Hydrochloride,TN,1,0
2020,Amphetamine,TN,2,314
2020,Amphetamine Salt Combination,TN,2,19082
2020,Dextroamphetamine Sulfate,TN,2,523
2020,Lisdexamfetamine Dimesylate,TN,2,23248
2020,Methamphetamine Hydrochloride,TN,2,0
2020,Amphetamine,TN,3,291
2020,Amphetamine Salt Combination,TN,3,18443
2020,Dextroamphetamine Sulfate,TN,3,534
2020,Lisdexamfetamine Dimesylate,TN,3,23824
2020,Methamphetamine Hydrochloride,TN,3,0
2020,Amphetamine,TN,4,307
2020,Amphetamine Salt Combination,TN,4,19159
2020,Dextroamphetamine Sulfate,TN,4,605
2020,Lisdexamfetamine Dimesylate,TN,4,26774
2020,Methamphetamine Hydrochloride,TN,4,0
