year,gennme,state,quarter,suppression,totalRX
2018,Lisdexamfetamine Dimesylate,FL,2,F,57448
2018,Lisdexamfetamine Dimesylate,FL,2,T,0
2018,Methamphetamine Hydrochloride,FL,2,T,0
2018,Amphetamine,FL,3,F,1462
2018,Amphetamine,FL,3,T,0
2018,Amphetamine Salt Combination,FL,3,F,60242
2018,Amphetamine Salt Combination,FL,3,T,0
2018,Dextroamphetamine Sulfate,FL,3,F,437
2018,Dextroamphetamine Sulfate,FL,3,T,0
2018,Lisdexamfetamine Dimesylate,FL,3,F,55750
2018,Lisdexamfetamine Dimesylate,FL,3,T,0
2018,Amphetamine,FL,4,F,3517
2018,Amphetamine,FL,4,T,0
2018,Amphetamine Salt Combination,FL,4,F,65289
2018,Amphetamine Salt Combination,FL,4,T,0
2018,Dextroamphetamine Sulfate,FL,4,F,479
2018,Dextroamphetamine Sulfate,FL,4,T,0
2018,Lisdexamfetamine Dimesylate,FL,4,F,61807
2018,Lisdexamfetamine Dimesylate,FL,4,T,0
2018,Amphetamine,MS,1,F,1238
2018,Amphetamine,MS,1,T,0
2018,Amphetamine Salt Combination,MS,1,F,13260
2018,Amphetamine Salt Combination,MS,1,T,0
2018,Dextroamphetamine Sulfate,MS,1,F,1324
2018,Dextroamphetamine Sulfate,MS,1,T,0
2018,Lisdexamfetamine Dimesylate,MS,1,F,25448
2018,Lisdexamfetamine Dimesylate,MS,1,T,0
2018,Amphetamine,MS,2,F,913
2018,Amphetamine,MS,2,T,0
2018,Amphetamine Salt Combination,MS,2,F,11917
2018,Amphetamine Salt Combination,MS,2,T,0
2018,Dextroamphetamine Sulfate,MS,2,F,1153
2018,Dextroamphetamine Sulfate,MS,2,T,0
2018,Lisdexamfetamine Dimesylate,MS,2,F,22339
2018,Lisdexamfetamine Dimesylate,MS,2,T,0
2018,Amphetamine,MS,3,F,817
2018,Amphetamine,MS,3,T,0
2018,Amphetamine Salt Combination,MS,3,F,12069
2018,Amphetamine Salt Combination,MS,3,T,0
2018,Dextroamphetamine Sulfate,MS,3,F,1074
2018,Dextroamphetamine Sulfate,MS,3,T,0
2018,Lisdexamfetamine Dimesylate,MS,3,F,22442
2018,Lisdexamfetamine Dimesylate,MS,3,T,0
2018,Amphetamine,MS,4,F,759
2018,Amphetamine,MS,4,T,0
2018,Amphetamine Salt Combination,MS,4,F,12942
2018,Amphetamine Salt Combination,MS,4,T,0
2018,Dextroamphetamine Sulfate,MS,4,F,1288
2018,Dextroamphetamine Sulfate,MS,4,T,0
2018,Lisdexamfetamine Dimesylate,MS,4,F,23352
2018,Lisdexamfetamine Dimesylate,MS,4,T,0
2018,Amphetamine,SC,1,F,61
2018,Amphetamine,SC,1,T,0
2018,Amphetamine Salt Combination,SC,1,F,31147
2018,Amphetamine Salt Combination,SC,1,T,0
2018,Dextroamphetamine Sulfate,SC,1,F,416
2018,Dextroamphetamine Sulfate,SC,1,T,0
2018,Lisdexamfetamine Dimesylate,SC,1,F,22570
2018,Lisdexamfetamine Dimesylate,SC,1,T,0
2018,Methamphetamine Hydrochloride,SC,1,T,0
2018,Amphetamine,SC,2,F,26
2018,Amphetamine,SC,2,T,0
2018,Amphetamine Salt Combination,SC,2,F,29730
2018,Amphetamine Salt Combination,SC,2,T,0
2018,Dextroamphetamine Sulfate,SC,2,F,351
2018,Dextroamphetamine Sulfate,SC,2,T,0
2018,Lisdexamfetamine Dimesylate,SC,2,F,21815
2018,Lisdexamfetamine Dimesylate,SC,2,T,0
2018,Amphetamine,SC,3,F,54
2018,Amphetamine,SC,3,T,0
2018,Amphetamine Salt Combination,SC,3,F,30095
2018,Amphetamine Salt Combination,SC,3,T,0
2018,Dextroamphetamine Sulfate,SC,3,F,340
2018,Dextroamphetamine Sulfate,SC,3,T,0
2018,Lisdexamfetamine Dimesylate,SC,3,F,20149
2018,Lisdexamfetamine Dimesylate,SC,3,T,0
2018,Amphetamine,SC,4,F,18
2018,Amphetamine,SC,4,T,0
2018,Amphetamine Salt Combination,SC,4,F,34285
2018,Amphetamine Salt Combination,SC,4,T,0
2018,Dextroamphetamine Sulfate,SC,4,F,326
2018,Dextroamphetamine Sulfate,SC,4,T,0
2018,Lisdexamfetamine Dimesylate,SC,4,F,22716
